GEOID,MedianSqFtVal_0100_Land,MedianSqFtVal_0101_Land,MedianSqFtVal_010C_Land,MedianSqFtVal_0200_Land,MedianSqFtVal_0300_Land,MedianSqFtVal_0400_Land,MedianSqFtVal_0500_Land,MedianSqFtVal_010E_Land,MedianSqFtVal_010D_Land
1400000US06037120103,,,28.63287966,,59.40660475,,83.45117561,73.07928558,
1400000US06037120104,165.0966469,160.2985926,112.0171429,78.55332195,,204.9729141,82.33949772,,
1400000US06037120105,132.5262616,137.8017316,,120.5410159,,,58.32583667,,
1400000US06037120106,124.3516784,98.17067308,,96.16091954,,125.8798343,38.76934121,58.20939692,
1400000US06037120107,139.304468,241.8917824,30.20529374,53.78129713,,,91.07519959,72.03004609,
1400000US06037120108,113.9927476,112.72567,52.53134613,,0,,30.17914325,74.98117158,
1400000US06037120300,162.9819712,159.3952772,,76.64350728,78.42936288,,87.84864245,,
1400000US06037120400,144.1972165,148.1513067,51.76326531,155.2517647,107.5540494,151.3033299,74.91286025,83.55563848,
1400000US06037121010,125.8090927,126.5286236,,128.4038073,,,17.99939506,,
1400000US06037121020,135.5180653,153.2261281,49.22288136,25.27467264,,,113.7404627,,
1400000US06037121101,135.0313215,194.7106579,158.8725166,68.21695279,,154.3832579,21.41686999,,
1400000US06037121102,186.3004921,212.6363004,,123.4488232,200.4118668,63.75209205,83.23634593,,
1400000US06037121210,113.919732,125.8007331,,111.9537578,138.5664708,,61.79359858,,
1400000US06037121221,132.4093074,168.5310727,,153.6707795,,51.37976738,10.74146303,,
1400000US06037121222,131.454591,117.214791,86.52790179,182.1289311,,57.70866922,43.79171501,,
1400000US06037121600,123.4631148,111.4134248,,98.59558564,91.42725968,,,,
1400000US06037121801,144.5957614,175.6999923,73.61206897,86.96931218,,,41.60773267,,
1400000US06037121802,141.4429429,112.7930791,,188.5764925,,,94.48163701,,
1400000US06037121900,140.3710247,168.2347909,,90.55891554,122.4715048,125.5232008,66.64768722,,
1400000US06037122000,120.6532615,121.7208584,,121.2932076,234.8374704,,210.4314534,,
1400000US06037122120,123.7952009,127.3117414,48.03472222,73.74878587,84.21553258,,28.8460063,,
1400000US06037122121,122.6640505,203.6795194,99.7122748,118.7847183,60.38666239,31.33445702,102.6673377,,
1400000US06037122122,150.2019417,206.359439,52.00610485,163.8016138,81.60892708,27.88355263,72.56036306,,
1400000US06037122200,145.6315344,89.62123684,,107.2625029,94.63947217,87.14222222,62.77698627,,
1400000US06037122410,123.1598262,115.8970696,25.36266667,108.5966523,160.7761372,49.93878848,97.78462201,,
1400000US06037122420,125.6462053,129.8825967,,92.40508171,86.97943758,167.1979512,41.1455102,,
1400000US06037123010,131.7795839,147.4918884,,177.7071295,167.4442989,136.6229889,98.53584407,,
1400000US06037123020,132.6862833,142.7153938,92.41922121,138.594086,135.4197255,91.98878085,42.48602336,,
1400000US06037123103,167.8795812,126.7310253,178.9911504,112.0253086,99.20366667,125.8085419,87.79753698,,
1400000US06037123104,162.219057,172.0618783,204.0432173,124.1128414,155.6834835,157.1508508,89.89250658,,
1400000US06037123203,143.9085487,123.4840897,102.4572864,117.9393077,69.41466083,66.70066733,63.28182598,35.63646286,
1400000US06037123204,152.4671115,237.2721495,186.4422262,131.7603359,103.880254,81.00800707,110.5993758,,
1400000US06037123205,195.8252149,187.0150327,,124.5006331,88.18668831,121.1924677,83.15571485,,
1400000US06037123206,163.0449961,129.140503,85.48275862,109.5546688,177.6549708,99.81578253,10.22598317,,
1400000US06037123301,116.7117702,90.28378378,79.9358915,60.33868613,150.6228827,53.96083386,127.7156053,,
1400000US06037123303,150.9700765,147.5623391,,145.9820461,33.24169555,136.9416823,86.62987701,,
1400000US06037123304,157.9707411,151.1306735,61.63034002,55.87084337,83.03185271,106.142978,79.58250754,,
1400000US06037123410,140.5790139,136.8088762,69.72879377,45.87559809,,81.94073107,86.87198707,,
1400000US06037123420,150.9690141,173.1734219,114.4605072,226.9594471,34.26915445,142.754965,55.15238944,,
1400000US06037123510,153.5289199,133.400108,60.79186992,37.66936183,,58.06004989,66.61234568,,
1400000US06037123520,140.8966049,145.3757688,,220.6836867,185.3291899,128.4800075,90.88217292,,
1400000US06037123601,168.9371941,173.8206647,65.32264336,75.50334076,202.3849392,148.5495977,45.74321678,236.3368333,
1400000US06037123602,193.7305072,183.9112554,147.8350254,116.0854898,85.72,95.39786646,46.33673469,,
1400000US06037123700,161.9947917,159.0561555,159.1152344,40.47853916,104.5247342,139.2826372,61.196567,,
1400000US06037123800,187.414668,166.6703794,133.7488678,164.1339292,112.2088829,168.7111313,56.81484907,109.2361751,
1400000US06037123901,148.3516835,222.2506754,74.08310627,193.7740734,83.57963499,93.19951303,93.52445155,,
1400000US06037123902,202.6978197,172.5015347,98.43846205,68.27576754,226.4965829,242.0960699,43.40617115,,
1400000US06037124000,223.9699352,236.2845304,201.6202532,46.57582801,118.5347563,94.67007478,109.7615877,140.176761,
1400000US06037124102,222.019802,221.9845871,137.1217949,148.5672878,125.5388082,157.1436492,85.16621179,,
1400000US06037124103,165.6040044,190.9852262,55.87142857,116.2040667,140.1630479,87.98894033,87.04513564,,
1400000US06037124104,150.849459,182.0375587,24.61095306,64.79109499,inf,58.60217809,128.805984,,
1400000US06037124105,180.0472762,127.1281087,123.5746835,158.0418649,56.73395722,130.9138597,102.5428613,,
1400000US06037124201,157.7188587,158.6937889,124.6940299,142.8480014,147.1123232,45.51509344,51.85876798,,
1400000US06037124203,187.2981888,198.4298318,,120.7228826,117.5204678,171.0743888,89.35940426,,
1400000US06037124204,190.4945701,158.4870175,141.9042056,105.0395181,129.6553895,196.7480424,107.0768655,,
1400000US06037124300,192.4872945,191.1887391,247.1342773,136.4864213,139.8598365,112.9674017,102.6592262,,
1400000US06037124400,223.788183,206.1597749,153.4545455,220.0420744,116.6028956,44.3090379,82.39645366,175.8440208,
1400000US06037124500,234.2511346,198.6999855,120.0702179,129.0155757,263.0212963,127.8144127,81.91037642,257.527797,
1400000US06037124600,232.0890023,238.2614514,85.21843208,197.8637352,103.4871795,,19.34032984,,
1400000US06037124700,220.6326933,217.8939921,190.1118019,38.96720779,,87.97955922,84.52886457,213.9707041,
1400000US06037124902,210.2643036,262.7984453,176.9592621,474.9661705,231.2653891,120.6203978,101.3068584,153.1501976,
1400000US06037124903,270.5952516,301.1114809,163.1966605,332.6286111,161.4711519,113.0566713,70.88396189,150.1981187,
