GEOID,Median_0100,Median_0101,Median_010C,Median_0200,Median_0300,Median_0400,Median_0500,Median_010E,Median_010D
1400000US06037577700,257.3060351,273.6578983,,246.2915834,217.8821056,318.4851597,311.5576082,,
1400000US06037577800,388.367413,431.9148289,,738.9993313,,367.6829401,403.7211691,,
1400000US06037577900,299.7501196,396.9245574,940.2740017,625.5058576,732.2831586,258.8846565,924.0132615,1043.747354,102.3524904
1400000US06037578000,331.6799675,368.3656626,46.817307,346.7677365,196.7529622,287.9613501,389.4892881,,
1400000US06037578100,,,,,,,,,
1400000US06037599000,180.9584494,331.9926231,195.2135161,168.8107848,191.5970598,186.194768,198.9008778,384.1101955,262.4629963
1400000US06037599100,,,,,,,171.5756396,,
1400000US06037600100,483.9149403,332.9168748,,442.9686763,407.7835966,409.4226325,329.2806593,,
1400000US06037600201,633.4335596,694.0420883,,656.4024153,656.2394426,659.9726885,651.8657987,,
1400000US06037600202,373.0495619,304.3199724,,355.5087318,320.4605006,352.957019,289.2634777,,
1400000US06037600302,825.0672344,808.4071163,,751.032686,393.2974787,513.5261524,427.1634215,,
1400000US06037600303,662.8058712,348.4045275,,568.0978238,578.5719716,638.0402312,604.8709276,,
1400000US06037600304,690.0493674,724.4244038,,791.6158691,822.1009254,803.1963789,646.4827948,,
1400000US06037600400,1005.733828,994.278604,,401.1636852,964.5662744,854.0358391,295.0933335,,
1400000US06037600501,1142.775337,1111.735768,,,984.8640259,974.9100436,961.820017,,
1400000US06037600601,894.1541794,913.2046663,1139.899611,501.3344069,914.7830971,1129.030369,1092.778091,,1155.77081
1400000US06037600602,694.5016747,857.4290134,,534.0327372,990.5797824,1046.19512,1036.151029,,
1400000US06037600702,476.1457329,547.6640423,,595.1309899,381.5889007,389.9570216,690.1113442,,
1400000US06037600703,251.0788265,228.2737914,555.9977519,,,364.5946385,,,239.7739439
1400000US06037600704,536.0623491,562.2497222,,295.6563486,379.6418337,485.4375317,364.4288955,,
1400000US06037600801,266.3149653,248.5443478,,304.4802731,334.0150546,376.6372288,396.0311081,,
1400000US06037600802,735.9996936,700.185932,,582.3034321,384.4557819,687.6710041,604.6683236,,
1400000US06037600902,371.4598063,313.7841222,515.0868058,334.941525,444.0811624,475.1715225,460.339809,88.88379825,
1400000US06037600911,396.0473788,349.7688681,339.0545939,338.4494618,358.3719296,464.3565078,510.3478411,412.8145468,
1400000US06037600912,269.869233,168.7691293,124.9604743,266.4072899,163.0189391,297.5877401,266.7226581,,
1400000US06037601001,329.4327618,386.1076249,363.8448898,181.8576422,95.4280316,248.9192252,256.5193222,301.0477872,
1400000US06037601002,620.7872484,342.4810607,397.575517,697.7194493,692.782702,709.1003271,641.9821808,557.080029,
1400000US06037601100,1030.978279,1424.905881,1053.659129,1030.237902,1044.383588,1047.464112,1213.043877,1163.009173,
1400000US06037601202,445.7504265,399.4224719,,600.5542587,696.6516855,714.1455015,190.4962921,242.3135702,
1400000US06037601211,409.9596381,376.6244663,380.3388435,455.5005712,353.2543416,362.1105494,368.239043,383.2238275,
1400000US06037601212,593.6726604,,493.7756312,576.6978617,508.8264269,507.7776824,520.6718819,352.0017663,
1400000US06037601301,638.6673936,585.6689399,,577.3387201,688.2272009,742.5190549,518.1089146,,
1400000US06037601302,388.0451626,670.1127186,417.0894879,441.1280196,507.3064474,492.9207875,432.9799303,671.9810116,
1400000US06037601303,571.0282256,,441.4813951,579.4794334,567.2376389,571.2795039,576.774586,333.6630436,784.7895029
1400000US06037601401,297.949543,253.1562181,375.4439817,242.8145451,400.6652698,415.0419251,435.4110487,448.1670923,
1400000US06037601402,372.168017,178.7783503,603.2670275,271.4423374,226.8805463,500.0364165,507.8609074,,
1400000US06037601501,502.6998699,513.3172958,,540.0409798,530.5418548,426.5710011,510.0155906,,
1400000US06037601502,358.9574515,148.8767961,610.6618364,380.1821644,337.7024102,485.7713606,360.5233021,,
