TRACT_FIPS,GEOID,FIPS,MedinaSqFtVal_0100,MedinaSqFtVal_0101,MedinaSqFtVal_010C,MedinaSqFtVal_0200,MedinaSqFtVal_0300,MedinaSqFtVal_0400,MedinaSqFtVal_0500,MedinaSqFtVal_010E,MedinaSqFtVal_010D
113238,1400000US06037113238,06037113238,190.76426284227605,176.92809488510008,100.43367346938776,,,,70.62977386934674,,
113239,1400000US06037113239,06037113239,,,,,,,30.410091480846198,,
113301,1400000US06037113301,06037113301,115.0265775637216,136.65745038764095,99.45692307692308,,,,,,
113303,1400000US06037113303,06037113303,188.86968085106383,176.90070422535211,,,,,,,
113322,1400000US06037113322,06037113322,148.76956032126918,150.49978732454275,127.70648069055434,64.68631940469376,,,64.9625453446191,,
113323,1400000US06037113323,06037113323,157.12549277266754,142.64190365641323,131.90553756900295,96.72150610583446,,,37.095512157268494,103.49725576289791,
113324,1400000US06037113324,06037113324,133.53157758192216,,141.0114788437369,,,65.99405276816609,168.2859761686526,,
113423,1400000US06037113423,06037113423,149.8009219069815,187.00800309525914,104.76077348066298,,156.68962553809152,,55.57830188679245,,
113424,1400000US06037113424,06037113424,151.41985644809975,168.74113475177305,,198.48981804103755,,,60.53721906182971,,
113425,1400000US06037113425,06037113425,,,109.89104727293704,,,,20.08226356868049,83.66136363636363,
113426,1400000US06037113426,06037113426,143.55251781945606,183.23611922852135,,,,,,,
113427,1400000US06037113427,06037113427,132.13091450030305,130.505859375,111.22345803842265,,,97.02390939597315,58.213629465828866,169.03436018957348,
113428,1400000US06037113428,06037113428,131.32886574838437,165.9238578680203,69.74203114275224,204.21912650602408,,89.76729291204099,,,
115101,1400000US06037115101,06037115101,146.05457039103533,136.5864118895966,118.4969387755102,168.00465949820787,,,4.602241522447155,,138.50497512437812
115103,1400000US06037115103,06037115103,,,,,,,,,
115104,1400000US06037115104,06037115104,154.45796737766625,154.14931353304283,152.49462365591398,,,,105.64938546025104,,
115202,1400000US06037115202,06037115202,153.82003035320088,167.41008062611502,114.71962025316456,144.30600941567434,243.11976549413734,336.9116432700248,81.35026339631607,,
115203,1400000US06037115203,06037115203,105.70104965577806,133.82914882537472,75.30941928002878,,,,27.5315877188727,,
115204,1400000US06037115204,06037115204,149.18642040149393,180.4671980380135,124.15329512893983,,,,34.74449838187702,,
115301,1400000US06037115301,06037115301,153.25065789473683,158.47882330025186,129.4973386560213,,,,42.97098240802081,,
115302,1400000US06037115302,06037115302,132.04580745341616,160.60951063140647,,,,23.526370217166495,23.576315789473686,,
115401,1400000US06037115401,06037115401,161.75219805749305,161.0156709108717,54.10595611285267,136.37554146443296,,,61.84395833333333,80.1536312849162,
115403,1400000US06037115403,06037115403,158.1851851851852,145.22380528955767,114.67325509573811,92.50088028169014,,,87.33277704099399,,
115404,1400000US06037115404,06037115404,175.26739882264408,187.12505562972854,,129.7923076923077,,75.97471496532818,111.89092946767443,,
117101,1400000US06037117101,06037117101,108.85201378922457,120.13944223107569,98.32596461016271,,,,20.35952738184546,,
117102,1400000US06037117102,06037117102,140.76114169719426,123.99738926820865,82.55263567107573,61.935410444866775,184.55696951760876,,24.1145861911294,135.57745098039214,
117201,1400000US06037117201,06037117201,141.25960539979232,137.12075750122972,91.66790648246547,76.33029861616897,113.91176298413356,212.11009174311926,43.65150709514473,,
117202,1400000US06037117202,06037117202,127.82928430728825,115.90437788018433,,109.52702702702703,,,,,
117301,1400000US06037117301,06037117301,140.92297015961137,149.1593379207069,,106.81833333333333,,,,,
117302,1400000US06037117302,06037117302,147.9705556785477,131.23484934864206,73.50446428571429,,83.80049786628734,,,,
117303,1400000US06037117303,06037117303,153.7603448275862,140.8390092879257,,,,,,,
117404,1400000US06037117404,06037117404,132.01158106115275,144.5974165769645,90.55151757188499,94.31053901850362,,,,,143.73010610079575
