TRACT_FIPS,GEOID,FIPS,Median_0,Median_1,Median_2,Median_3,Median_4,Median_5,Median_6,Median_7,Median_8
310704,1400000US06037310704,06037310704,512.8173286074449,655.2273839664522,603.3035975381247,914.5969722801169,,,,700.8282654117922,745.3120508251264
310705,1400000US06037310705,06037310705,548.0263661486014,580.578996668547,511.0168562515508,214.12448084315753,,,546.6697195165641,141.40805406204996,655.0754523237435
310800,1400000US06037310800,06037310800,351.7679923333967,416.54620435075526,401.71794844709444,388.4482517486758,,,352.0985648036119,391.69087568059274,566.9556772666019
310900,1400000US06037310900,06037310900,551.5975267516402,675.4285431411492,434.86503477958456,271.3504179908641,,,681.1614566002764,643.894404710043,467.2406786884867
311000,1400000US06037311000,06037311000,275.0098602833213,74.3250881032497,255.49262343892423,323.5814163168315,,,341.4995329493046,80.73171723987552,299.393779822042
311100,1400000US06037311100,06037311100,270.6359794526665,532.6233599444382,175.01359057725827,456.15503099828555,,,,367.91074826828515,156.2843076199901
311200,1400000US06037311200,06037311200,523.8414119146951,511.6205468829026,672.3449929879591,526.0446466744248,,,262.87655165010494,596.7251875056019,610.4876174255533
311300,1400000US06037311300,06037311300,826.3543110168282,807.6398097739723,709.8415960305414,780.9717271881273,,,601.5749793645806,864.543332092869,882.9895626880871
311400,1400000US06037311400,06037311400,532.2588221402026,443.1347354753308,368.98356832781576,796.0961847027412,,,,61.25886085492707,183.96231444108423
311500,1400000US06037311500,06037311500,259.308875992009,408.40718910737513,369.0039803348186,395.855607877294,,,,467.9898761512504,220.71054208176633
311601,1400000US06037311601,06037311601,487.9973622131254,422.3861497320882,387.9865139010309,386.72077997619203,,,,101.00665876452713,389.1237340014303
311602,1400000US06037311602,06037311602,922.4209270116439,982.90181841831,992.7357353530399,893.966976533106,,,944.7537744932122,803.1294131975677,768.040387368612
311700,1400000US06037311700,06037311700,385.0619729131156,374.83095691379486,399.9735267223211,548.5068397601141,,,268.7267428016581,331.73043614591245,82.13570002073934
311801,1400000US06037311801,06037311801,444.43989427800756,361.2475452673267,482.9421360397214,512.5106453399767,,,278.63153636630784,472.51484881051397,516.8089867257138
311802,1400000US06037311802,06037311802,210.04940707965307,273.2170961836034,244.37238009226866,297.72443487970264,,,,409.97485982710975,429.30722719300957
320101,1400000US06037320101,06037320101,526.4208630442207,697.1474248371718,661.5429596038431,,,,,103.80595974617448,774.4303236545954
320102,1400000US06037320102,06037320102,315.2727717211066,294.4829628380385,294.09008793638105,419.3431963657222,,,266.29496273394864,313.5558171178397,72.63094368504711
320201,1400000US06037320201,06037320201,219.73880404957393,560.7166082653852,424.2053239526819,151.65036264382496,,,,497.7241544004083,353.6583137401858
320202,1400000US06037320202,06037320202,447.6919590934291,614.3872574174355,558.9473355025593,685.8173399502302,,,564.7345856652138,438.68521562080207,639.2633289942318
320300,1400000US06037320300,06037320300,383.96059727328617,433.5933879701311,320.71476232851217,221.2376074918833,,,334.3330980947556,484.73444878863967,448.4947706495361
400205,1400000US06037400205,06037400205,174.41223166702463,588.0292799926855,774.2349929252783,,,,,219.32519335894546,175.28213297018118
400206,1400000US06037400206,06037400206,278.7860533366895,465.120205130305,,,,,,295.5844239042624,281.0613893264052
400207,1400000US06037400207,06037400207,205.48374933051767,405.1453739395791,,,,,17.615134223003437,200.43397802036378,154.06475604037593
400208,1400000US06037400208,06037400208,101.95642121549102,,14.246404033696487,,,,,104.8632313205244,124.90374759884227
400209,1400000US06037400209,06037400209,131.46494011748948,,94.34029850152494,,348.0021749488518,,341.70109383409647,714.6430908552621,113.39150309878539
400304,1400000US06037400304,06037400304,259.962042046566,150.4010524287764,125.72505850247737,341.9309275956375,,,,337.64264421802545,214.9009827996059
400402,1400000US06037400402,06037400402,856.1196504934292,944.9396899717904,600.6959494285652,514.4967957510271,,,1071.187349546021,1004.3219659945735,851.3908639673781
400403,1400000US06037400403,06037400403,394.1916833727948,286.4687585181998,512.1219108939297,389.4660327470114,475.83220615817106,,,324.11536715937814,169.46784381112732
400404,1400000US06037400404,06037400404,328.3593393975986,,,,,,846.4391721612293,,194.3454170146115
400501,1400000US06037400501,06037400501,428.9291336793624,,,,597.7631814785677,,,448.01777315168704,88.65950920855394
400602,1400000US06037400602,06037400602,248.20454892993146,179.66470167131808,720.5729077199258,606.2617112441915,,,,,91.49494657911494
400603,1400000US06037400603,06037400603,285.4161474971145,1140.58392462273,1128.3290401983063,618.6462180577747,,74.17896402123388,324.97587819648487,305.24427787258537,143.78163729175532
400605,1400000US06037400605,06037400605,135.2266403500839,95.05685723110378,273.8986567830931,,358.2453880921739,,138.020462372364,266.35773622162907,124.90544901886909
400801,1400000US06037400801,06037400801,341.48746978812574,638.2193162007273,581.9995589661676,272.8091181968678,,,,363.85905069111817,377.8546707256154
401001,1400000US06037401001,06037401001,340.7510079737117,,,,,,,472.92192693256834,175.78273800091506
401002,1400000US06037401002,06037401002,508.94146449095695,289.87209275327575,214.84732905772424,82.76657615751274,,,359.9288614573195,381.8590645110344,180.01446147551349
401101,1400000US06037401101,06037401101,402.34768500032925,302.6537759103951,369.4615937786347,301.0228855510738,,,,641.0590104794243,152.101601072296
401102,1400000US06037401102,06037401102,378.6556256312336,394.3430660070899,418.9486359478303,403.8983494770153,,,,373.4712914783224,420.16246813753054
401201,1400000US06037401201,06037401201,654.3624307746436,837.5509958037685,1031.526274325416,319.2717101309115,,41.26553485544012,,509.282897427176,428.8835006702294
401202,1400000US06037401202,06037401202,358.44210089172697,504.8170573936484,478.0739376528925,970.5029558956585,,168.29315196296693,58.82274193197834,766.5973008175796,371.8999693494577
401203,1400000US06037401203,06037401203,333.4384906664975,566.875382975841,652.7403283858437,594.2870707577238,,,23.47599821294973,201.31070944377737,442.21813337419644
401303,1400000US06037401303,06037401303,533.312935204222,186.68219929927224,,625.940847593209,,,,,480.6798190479442
401304,1400000US06037401304,06037401304,324.7371021194777,129.83255170142345,279.5442356033039,,,,375.61220218824576,157.69662602541032,72.99306331610839
401311,1400000US06037401311,06037401311,713.6876793459995,205.63869758534497,337.95155742247033,376.84818496934474,1072.5040053805847,,246.37665399069007,238.40312704280242,429.94819316834156
