GEOID,Median_Housing_Price_2021
1400000US06037194401,1606300
1400000US06037194402,998500
1400000US06037194500,1770800
1400000US06037195100,1493000
1400000US06037195201,1467000
1400000US06037195202,1258300
1400000US06037195300,859200
1400000US06037195400,1229500
1400000US06037195500,910800
1400000US06037195600,805100
1400000US06037195710,1006100
1400000US06037195720,655000
1400000US06037195802,897000
1400000US06037195803,1061500
1400000US06037195804,1102300
1400000US06037195901,1306800
1400000US06037195902,1176600
1400000US06037195903,838700
1400000US06037197200,666200
1400000US06037197300,1034000
1400000US06037197410,1067800
1400000US06037197420,938300
1400000US06037197500,942100
1400000US06037197600,770800
1400000US06037197700,613500
1400000US06037199001,621000
1400000US06037199002,470300
1400000US06037199110,581900
1400000US06037199120,563300
1400000US06037199201,497500
1400000US06037199202,672600
1400000US06037199300,688600
1400000US06037199400,600500
1400000US06037199700,637800
1400000US06037199801,544400
1400000US06037199802,582500
1400000US06037199900,553800
1400000US06037201110,657900
1400000US06037201120,633000
1400000US06037201200,623100
1400000US06037201301,645100
1400000US06037201302,549300
1400000US06037201401,560100
1400000US06037201402,618100
1400000US06037201501,608400
1400000US06037201503,531000
1400000US06037201504,607000
1400000US06037201601,578100
1400000US06037201602,614600
1400000US06037201700,569600
1400000US06037203100,610400
1400000US06037203200,492300
1400000US06037203300,483300
1400000US06037203500,558600
1400000US06037203601,438300
1400000US06037203602,578300
1400000US06037203710,586700
1400000US06037203720,618900
1400000US06037203800,428600
1400000US06037203900,502000
1400000US06037204110,498700
1400000US06037204120,463300
1400000US06037204200,449600
1400000US06037204300,497500
1400000US06037204410,551000
1400000US06037204420,443600
1400000US06037204600,442300
1400000US06037204700,513700
1400000US06037204810,477800
1400000US06037204820,485300
1400000US06037204910,546900
1400000US06037204920,483000
1400000US06037205110,NA
1400000US06037205120,465800
1400000US06037206010,806800
1400000US06037206020,NA
1400000US06037206050,450000
1400000US06037206051,895800
1400000US06037206052,645500
1400000US06037206053,622800
1400000US06037206054,NA
1400000US06037206201,510100
1400000US06037206202,472100
1400000US06037206301,NA
1400000US06037206302,NA
1400000US06037206303,NA
1400000US06037207101,NA
1400000US06037207102,795000
1400000US06037207103,607100
1400000US06037207303,818200
1400000US06037207304,NA
1400000US06037207305,NA
1400000US06037207306,647300
1400000US06037207307,NA
1400000US06037207308,NA
1400000US06037207400,NA
1400000US06037207501,720100
1400000US06037207502,NA
1400000US06037207711,814500
1400000US06037207712,768400
1400000US06037207901,625000
1400000US06037207902,910700
1400000US06037208001,NA
1400000US06037208002,705100
1400000US06037208301,NA
1400000US06037208302,831100
1400000US06037208401,703900
1400000US06037208402,784800
1400000US06037208501,858800
1400000US06037208502,NA
1400000US06037208610,776800
1400000US06037208620,678900
1400000US06037208710,421000
1400000US06037208720,NA
1400000US06037208801,NA
1400000US06037208802,NA
1400000US06037208902,NA
1400000US06037208903,NA
1400000US06037208904,NA
1400000US06037209103,NA
1400000US06037209104,NA
1400000US06037209105,NA
1400000US06037209106,NA
1400000US06037209201,662900
1400000US06037209202,NA
1400000US06037209300,NA
1400000US06037209401,NA
1400000US06037209402,NA
1400000US06037209403,NA
1400000US06037209510,NA
1400000US06037209520,NA
1400000US06037209810,NA
1400000US06037209820,720100
1400000US06037210010,398200
1400000US06037211000,2000001
1400000US06037211121,NA
1400000US06037211122,NA
1400000US06037211123,NA
1400000US06037211124,483700
1400000US06037211201,692700
1400000US06037211202,843800
1400000US06037211310,695500
1400000US06037211320,NA
1400000US06037211410,1563600
1400000US06037211420,945700
1400000US06037211500,1399300
1400000US06037211701,NA
1400000US06037211703,456200
1400000US06037211704,535300
1400000US06037211802,NA
1400000US06037211803,4.00E+05
1400000US06037211804,NA
1400000US06037211910,376400
1400000US06037211921,NA
1400000US06037211922,NA
1400000US06037212101,525600
1400000US06037212102,NA
1400000US06037212202,909100
1400000US06037212203,NA
1400000US06037212204,NA
1400000US06037212303,NA
1400000US06037212304,NA
1400000US06037212305,NA
1400000US06037212306,511400
1400000US06037212410,604200
1400000US06037212420,NA
1400000US06037212501,1092100
1400000US06037212502,768900
1400000US06037212610,802600
1400000US06037212620,869000
1400000US06037212701,1089300
1400000US06037212702,1094500
1400000US06037212800,1102400
1400000US06037212900,1028600
1400000US06037213100,1050300
1400000US06037213201,786900
1400000US06037213202,638400
1400000US06037213310,663700
1400000US06037213320,648800
1400000US06037213401,NA
1400000US06037213402,790200
1400000US06037214000,1902000
1400000US06037214100,2000001
1400000US06037214400,2000001
1400000US06037214501,NA
1400000US06037214503,NA
1400000US06037214504,852300
1400000US06037214505,NA
1400000US06037214600,NA
1400000US06037214700,1863800
1400000US06037214800,1512200
1400000US06037214902,859600
1400000US06037214903,714700
1400000US06037214904,1058100
1400000US06037215101,662500
1400000US06037215102,NA
1400000US06037216100,1510800
1400000US06037216201,1923100
1400000US06037216202,1160000
1400000US06037216301,1784300
1400000US06037216302,910500
1400000US06037216401,834200
1400000US06037216402,802100
1400000US06037216700,1149800
1400000US06037216800,1570300
1400000US06037216901,1097800
1400000US06037216902,1305100
1400000US06037217001,1442700
1400000US06037217002,1135700
1400000US06037217101,1555600
1400000US06037217102,1145500
1400000US06037217200,1152700
1400000US06037218110,987100
1400000US06037218120,669000
1400000US06037218210,826900
1400000US06037218220,1078700
1400000US06037218300,872100
1400000US06037218400,689300
1400000US06037218500,845700
1400000US06037218600,687900
1400000US06037218701,761800
1400000US06037218702,758700
1400000US06037218800,826300
1400000US06037218900,990800
1400000US06037219010,708200
1400000US06037219020,719800
1400000US06037219300,720500
1400000US06037219500,774600
1400000US06037219700,650500
1400000US06037219800,631300
1400000US06037219901,550500
1400000US06037219902,668800
1400000US06037220000,625000
1400000US06037220100,855100
1400000US06037221110,796900
1400000US06037221120,667800
1400000US06037221210,848100
1400000US06037221220,611600
1400000US06037221302,693200
1400000US06037221303,912500
1400000US06037221304,643600
1400000US06037221401,645200
1400000US06037221402,1165800
1400000US06037221500,869100
1400000US06037221601,750000
1400000US06037221602,645400
1400000US06037221710,615300
1400000US06037221810,645800
1400000US06037221820,836400
1400000US06037221900,656800
1400000US06037222001,713700
1400000US06037222002,598400
1400000US06037222100,666900
1400000US06037222200,824600
1400000US06037222500,575700
1400000US06037222600,509300
1400000US06037222700,NA
1400000US06037224010,NA
1400000US06037224020,738600
1400000US06037224200,745000
1400000US06037224310,826900
1400000US06037224320,619800
1400000US06037224410,774500
1400000US06037224420,739100
1400000US06037224600,692100
1400000US06037224701,NA
1400000US06037224702,NA
1400000US06037226001,434000
1400000US06037226002,573200
1400000US06037226410,518600
1400000US06037226420,573000
1400000US06037226701,443000
1400000US06037226702,482600
1400000US06037227010,432100
1400000US06037227020,385700
1400000US06037228100,436800
1400000US06037228210,437400
1400000US06037228220,460900
1400000US06037228310,447100
1400000US06037228320,403800
1400000US06037228410,458000
1400000US06037228420,478400
1400000US06037228500,404000
1400000US06037228600,574200
1400000US06037228710,386800
1400000US06037228720,462500
1400000US06037228800,439300
1400000US06037228900,441700
1400000US06037229100,464300
1400000US06037229200,364800
1400000US06037229300,493600
1400000US06037229410,429400
1400000US06037229420,435400
1400000US06037231100,431800
1400000US06037231210,464200
1400000US06037231220,570900
1400000US06037231301,470500
1400000US06037231302,616200
1400000US06037231400,563000
