GEOID,MedinaSqFtVal_0100_Total,MedinaSqFtVal_0101_Total,MedinaSqFtVal_010C_Total,MedinaSqFtVal_0200_Total,MedinaSqFtVal_0300_Total,MedinaSqFtVal_0400_Total,MedinaSqFtVal_0500_Total,MedinaSqFtVal_010E_Total,MedinaSqFtVal_010D_Total
1400000US06037109300,254.87834924001413,271.6806090472756,225.1920764060842,,,,,,
1400000US06037109400,219.17530831660298,261.41926605504585,210.4838107098381,175.04659321792838,125.45855374289532,133.00399068839374,287.307111,,201.9592363261094
1400000US06037109500,191.20480435299044,186.12671059300558,196.67252195734005,152.71341898643826,125.39035087719299,36.44276556776557,247.34583333333333,,
1400000US06037109601,225.8402489626556,254.6459382174432,,272.09122006841505,68.41706012,,,,
1400000US06037109603,239.14576024862652,235.65810738974932,233.86258935663224,159.04914280140918,,,199.8045815203481,,
1400000US06037109604,230.54851702673014,254.2346752183406,215.65615141955837,241.50485436893203,109.73304244347482,,127.38828240267847,,
1400000US06037109700,266.5869277829738,250.8322534197264,266.51222724332183,220.8945879,,,,291.98240653471566,
1400000US06037109800,264.7709970151623,268.6528132992327,270.6709546243151,371.9614740368509,490.1313492063492,,36.58176721415035,,
1400000US06037111100,270.1442477876106,288.60759493670884,,,,,,,
1400000US06037111201,267.5944893680743,288.569112,220.22698678019697,,,,,,
1400000US06037111202,284.8385069253512,291.29716312056735,269.64138647124264,245.86777650531036,110.15455090820728,130.6559836345039,149.00287827046085,314.1772297456199,
1400000US06037111204,247.85338593655925,272.0772266065389,,,,,,,inf
1400000US06037111205,251.41258169934642,293.3689614,246.8550412001298,232.3756038647343,244.42374140681108,,,218.18777613081383,
1400000US06037111206,241.07509627727856,273.73065240343567,,,,,,,
1400000US06037111302,273.3761233660131,266.66789215686276,267.32651570489406,121.60060834229931,,,187.73866201518572,,
1400000US06037111303,253.14992866920343,262.43256730958046,254.32996435237817,252.43137244731454,144.1882513961553,257.16161327231123,196.06986909241536,,
1400000US06037111304,,,240.85334274645442,,,,276.8527126649892,,
1400000US06037111401,250.5942105263158,258.48825910931174,,,264.24706288873534,,238.99661238059167,,
1400000US06037111402,246.2330776959795,275.07118118480935,257.42879104674955,,,,108.44323320610383,,
1400000US06037113101,251.3151007589636,263.2360404097294,,250.3514797928324,,,,,347.47478289261556
1400000US06037113102,293.7368232341341,259.6258419983137,,,,,,,325.0242258
1400000US06037113211,265.7367049009385,271.0707808007078,257.3547659334461,675.1474802371541,,,,,
1400000US06037113212,246.20659569484917,249.93665158371041,222.57575277699527,159.20684131392775,,,183.51497718706605,,
1400000US06037113213,267.6865108385092,273.53130103429504,253.21464440133036,156.26476818408977,,129.6639093137255,185.64459698686773,294.69687742984377,
1400000US06037113231,277.47133688573115,277.93054869006426,,139.75,,,107.38041581189424,,270.6928546581862
1400000US06037113232,301.982158,278.27727391643685,,349.3830645,,,,,
1400000US06037113234,244.82514646237044,272.4779846585341,245.58151045421772,88.48260125499144,,358.0729166666667,118.23969826241864,67.6952381,
1400000US06037113235,276.2800955220637,284.4802214405017,,214.90252976190476,,,,,
1400000US06037113237,260.36635006784263,273.1657360227506,338.34506666666664,248.9363054986298,,,130.8589279656225,,
1400000US06037113238,284.11992296908886,259.5868945868946,252.86118721461187,,,,176.9325376884422,,
1400000US06037113239,,,,,,,101.21069182389937,,
1400000US06037113301,221.69637956050573,257.7540483431463,249.11923076923077,,,,,,
1400000US06037113303,278.0104895104895,281.07308584686774,,,,,,,
1400000US06037113322,244.98673922205558,259.7973882073605,249.11208020500834,108.57842014882657,,,248.40779927448608,,
1400000US06037113323,250.37528216704288,237.25089605734766,264.3549151437537,175.85685210312076,,,123.4996766683911,222.83030949839915,
1400000US06037113324,284.51279081349355,,279.62994521413896,,,142.35445501730104,494.7296058661778,,
1400000US06037113423,261.7439085752976,283.3449915253532,235.98411488867708,,303.3806361143228,,109.08064150943396,,
1400000US06037113424,252.32789026299068,277.2547281323877,,245.94030584591562,,,193.42848083558707,,
1400000US06037113425,,,258.40274071479575,,,,77.93309361602225,277.6068181818182,
1400000US06037113426,249.73021981602625,295.5059132720105,,,,,,,
1400000US06037113427,246.39082723691615,230.8105469,256.78864569083447,,,242.67470637583892,147.97329210545567,299.86428892355167,
1400000US06037113428,237.24103771528235,268.2400270453009,217.79272151898735,336.4077560240964,,224.4184457728437,,,
1400000US06037115101,262.81480937195727,256.95869056897897,243.70204081632653,280.7779569892473,,,82.40998787,,339.3089552238806
1400000US06037115103,,,,,,,,,
1400000US06037115104,251.27564102564102,281.8340664473163,305.7081339712919,,,,226.8933875662363,,
1400000US06037115202,244.42699457236182,268.43945652173915,248.92642731018245,235.78136493665713,299.2225013958682,473.7819983484723,210.35179176746544,,
1400000US06037115203,225.9709038382171,259.6136977335956,180.94665731438744,,,,132.26888676945157,,
1400000US06037115204,244.31531302454857,292.27142857142854,270.0823782234957,,,,115.82330097087379,,
1400000US06037115301,243.01098901098902,267.00052604037063,264.5312707917498,,,,77.28441139597736,,
1400000US06037115302,232.8493557978196,274.52346030370006,,,,78.42812823164427,78.52715722604553,,
1400000US06037115401,267.50198266167547,278.52162849872775,145.61370527592481,213.83670543457328,,,155.64654107279028,198.16387337057728,
