GEOID,Median_0,Median_1,Median_2,Median_3,Median_4,Median_5,Median_6,Median_7,Median_8
1400000US06037108204,283.894269,279.7617874,373.8431567,,,,45.45473438,173.4647447,41.3311018
1400000US06037109100,395.3286415,416.9169168,230.3923005,197.8238746,,,791.1107748,594.1670819,348.2177424
1400000US06037109200,643.9893593,832.8747077,738.9205125,,,,,797.0900438,775.7843406
1400000US06037109300,735.7715338,639.00804,642.6278937,,,,,528.1877889,546.116913
1400000US06037109400,315.7399799,175.0161575,551.1277204,,,,,286.606131,270.501968
1400000US06037109500,339.2714868,355.2218159,344.8163638,93.10724893,,,,647.2665682,102.8794853
1400000US06037109601,389.2420734,85.00628624,48.80194033,,,,382.5237813,187.7735999,345.0297336
1400000US06037109603,1054.102017,1254.97968,1255.336804,,,,,1175.893358,1086.000162
1400000US06037109604,723.6806295,553.7777416,503.4572957,493.9582623,,,,,620.1533447
1400000US06037109700,1069.368727,1090.485316,,,,,,1126.055199,724.6317953
1400000US06037109800,1521.496672,1428.798202,1132.158511,,,,,,1523.648272
1400000US06037111100,523.399316,789.4705011,868.7650127,,,,,335.4587316,596.4320432
1400000US06037111201,972.7969134,1024.254396,934.9386056,,,,,915.5975849,894.7535947
1400000US06037111202,1182.494557,1458.155995,1374.437606,,,,,1037.713461,1090.713014
1400000US06037111204,480.231348,,,,,,,622.8112175,222.1475398
1400000US06037111205,155.1677572,165.0200089,209.0305082,,,,159.6532713,496.867515,161.4958021
1400000US06037111206,650.1747109,299.2473095,256.6606396,1196.001688,,,,488.1866341,679.9332425
1400000US06037111302,1198.435834,837.3672793,802.3636769,,,,803.5999315,1150.051923,1462.431599
1400000US06037111303,1138.416408,1382.234331,1372.376232,,,,1551.055752,775.7254606,1166.906139
1400000US06037111304,395.5325878,864.3779894,943.6386271,,,,,,682.9001434
1400000US06037111401,877.8887593,704.1014871,874.6826688,1164.094213,,,,1146.42402,808.2285277
1400000US06037111402,293.6021647,388.2322316,409.9008971,,,,,348.2845746,513.8399695
1400000US06037113101,712.6990997,1212.908692,1078.172237,,489.1123337,,,719.7392541,672.8311494
1400000US06037113102,272.622575,113.5240407,199.4888888,,,,,530.1236183,344.0082161
1400000US06037113211,152.4093486,,,,,57.24600545,,186.298569,100.6879054
1400000US06037113212,773.2736537,990.3739807,802.0999528,,,,,647.5746256,778.4858246
1400000US06037113213,993.9941752,907.1012264,849.0566331,1434.450958,,,,585.9455343,407.3206296
1400000US06037113231,137.4907259,127.4376563,382.0975258,525.724188,,99.12055325,365.6751233,,279.7170307
1400000US06037113232,290.9554592,338.573873,213.5386729,,,,,456.4253353,664.668256
1400000US06037113234,789.576446,1150.012279,964.7946113,734.975507,,,,801.6317786,642.8114676
1400000US06037113235,160.1283914,80.55852243,74.18500937,,,,,94.63030564,78.4951132
1400000US06037113237,379.351448,1050.823533,813.4208941,856.5805841,,,,,978.6083918
1400000US06037113238,313.2328055,466.9709783,318.0085246,174.9692673,,,,,
1400000US06037113239,477.0740734,482.281724,624.475256,584.382139,,,,402.558197,413.4951847
1400000US06037113301,1091.423895,1075.466784,1162.10478,1329.607047,,,913.1825194,1241.135513,1195.80796
1400000US06037113303,1531.78122,1539.535753,1585.911072,1688.135523,,,1506.312881,1542.232398,1383.886486
1400000US06037113322,764.5515858,353.00606,316.7581528,,,,,860.3042934,694.0488554
1400000US06037113323,1334.50411,1373.994401,1424.655364,1592.482168,,,1651.101922,1455.274463,1307.044151
1400000US06037113324,621.4078207,1281.336066,815.9242913,,,,,,861.5216165
1400000US06037113423,393.5113382,171.7919346,112.2956975,,,,,237.1101278,296.2370751
1400000US06037113424,935.4934805,1065.32038,786.1782263,954.9167951,,,,851.8880488,1181.99624
1400000US06037113425,726.4672874,1023.201296,1113.263478,962.182703,,,1020.196967,,667.6737384
1400000US06037113426,756.7897121,1235.402187,1343.474683,1239.337108,,,1102.316154,1399.576766,1545.9039
1400000US06037113427,855.0311861,,,,,,,,814.4936342
1400000US06037113428,657.3896064,649.081418,94.56425209,,,,,1031.019305,568.7547053
1400000US06037115101,681.4664911,1174.977535,1272.036138,,,,,735.6050233,161.4880729
1400000US06037115103,,,,,,,,,1136.728708
