TRACT_FIPS,GEOID,FIPS,price_0100,price_0101,price_010C,price_0200,price_0300,price_0400,price_0500,price_010E,price_010D
104108,1400000US06037104108,6037104108,115.3912310286678,136.59274624599124,44.50997253634012,42.99001833255808,30.35431119920713,,25.837577200961583,129.3170731707317,
104124,1400000US06037104124,6037104124,139.9837932674334,142.24875,125.80359646182612,86.53000337533754,61.576894491588014,,,,
104201,1400000US06037104201,6037104201,107.81262776487056,132.58112896945127,,104.64234745837015,,,104.79133409350057,,
104203,1400000US06037104203,6037104203,120.02540650406505,160.0582338902148,95.09768637532132,147.8535735022888,85.24110349246831,,49.804954788070205,130.37810383747177,
104204,1400000US06037104204,6037104204,120.54988358731102,144.71908787669656,,,,,190.74824093619227,,105.63303533418475
104310,1400000US06037104310,6037104310,120.12934828319644,95.65170068027211,,79.32224890199939,36.94387755102041,,,,
104321,1400000US06037104321,6037104321,124.28708791208793,6.221445892817638,,112.1758691206544,34.17212301587302,55.94305616666102,90.71021174863388,,
104322,1400000US06037104322,6037104322,133.1938323566275,104.84399005164845,,50.33399211544872,,41.23053278688525,81.63632449932703,,
104401,1400000US06037104401,6037104401,96.95359695114288,127.80117878980636,,107.32969852469532,85.02958579881657,,196.28295234858757,,
104403,1400000US06037104403,6037104403,97.17935769301302,54.88215922959937,,78.33960995292536,141.52230046948358,,75.25665180828088,,
104404,1400000US06037104404,6037104404,98.60596546310832,88.5243553008596,,90.2345026576394,62.925103724192425,99.50192604006163,150.1645481734672,,
104500,1400000US06037104500,6037104500,105.31362275449102,68.01976935749587,,55.55088495575221,137.99664561223224,73.75043152207833,22.362142857142857,,
104610,1400000US06037104610,6037104610,113.0403437751004,66.48181276088253,,112.44444444444444,71.44021164021164,93.7912641747165,30.821945316087994,,
104620,1400000US06037104620,6037104620,106.41661788477768,111.31067961165049,,127.78149780994096,35.49605003291639,,,,
104701,1400000US06037104701,6037104701,141.78013698630136,74.9951980792317,,81.5403834979663,105.39979160008522,37.84009873834339,22.489490739863285,,
104703,1400000US06037104703,6037104703,152.3406862745098,,,92.17301587301588,96.72478634817269,,51.80348389355742,inf,
104704,1400000US06037104704,6037104704,107.60197368421052,98.80450407283182,66.0451923076923,inf,,,30.80145185787579,131.89219712525667,
104821,1400000US06037104821,6037104821,115.70808510638298,80.32550442824072,,103.07752808988764,42.83426378227495,25.93174720226313,44.65898896997222,,
104822,1400000US06037104822,6037104822,101.41643947069478,57.94701429772918,,163.14411764705883,,,17.279183135704876,,138.60886258563062
104823,1400000US06037104823,6037104823,106.5720844811754,104.03163771712158,,72.32794909446892,142.90325865580448,,,,
104824,1400000US06037104824,6037104824,98.55057967032968,97.29002001731376,,70.19314132857541,147.92240758775458,,,,
106010,1400000US06037106010,6037106010,92.3438961038961,91.95205479452056,67.04226475279107,74.9753487863598,83.9780865060865,,,,
106020,1400000US06037106020,6037106020,117.31382049214793,106.51510593175836,,76.44870041039671,152.53776435045316,,,,
106111,1400000US06037106111,6037106111,118.54066079873245,114.11327831957988,,,,,,,116.364406779661
106112,1400000US06037106112,6037106112,137.80997798972854,124.02205708893608,77.92408985282727,119.71895734597156,178.56741305383517,,,,
106113,1400000US06037106113,6037106113,115.89403453689168,118.0121874615229,88.54682500450977,115.44465859199904,,,,,95.33623400203712
106114,1400000US06037106114,6037106114,124.1070886230967,105.1927797833935,86.60720130932897,115.25155131264916,88.81823237737872,149.64659090909092,95.40883791690408,,
106403,1400000US06037106403,6037106403,125.09768462265424,103.6345901125326,,152.30734679688362,,,,,
106405,1400000US06037106405,6037106405,134.8159558830605,131.79633013156598,80.66147308781869,124.953373015873,238.1704649042844,80.25592638140674,83.26314008572074,96.04319852941175,170.78510758776895
